subject,experiment,session,slope,intercept,rmse,mu,sig,se,n_syncs,corr1,corr2
R1070T,FR1,1,1.0000447985667245,-0.09488278802947825,0.7262665392134074,3.797140379901975e-13,0.7262665392134074,0.07262665392134074,100,0.9999856632493086,0.33357173232599685
R1070T,FR1,2,0.9957521874767116,5.1726726701353085,9.752781767854072,7.844391802791505e-14,9.752781767854074,0.9752781767854074,100,0.9976586316568897,0.3060172681989737
R1070T,FR2,0,0.9935794405946586,7.377268932467584,9.846582471402325,2.842170943040401e-14,9.846582471402325,0.9846582471402325,100,0.9973114620758614,0.3842889521323532
R1074M,catFR1,0,0.9940663198021751,7.064919212867055,9.884473004296972,-3.979039320256561e-13,9.884473004296972,0.9884473004296972,100,0.9978061821350372,0.3004341936148869
R1074M,catFR2,0,1.003271069649304,-3.2771263099659746,4.664772157247165,1.148237060988322e-13,4.664772157247165,0.46647721572471645,100,0.9994706124301131,0.328709354706574
R1074M,PAL2,0,0.9981897325302298,1.787776211744553,4.98826626369674,7.480593922082335e-13,4.98826626369674,0.498826626369674,100,0.999444491616806,0.358787802707227
R1075J,FR1,1,0.994486157204947,6.502735331299371,9.789197419436395,3.4788172342814506e-13,9.789197419436395,0.9789197419436395,100,0.997670270042597,0.4068807745534262
R1075J,catFR1,0,0.9926752961409439,8.527486506161889,9.630349541305867,1.7053025658242404e-13,9.630349541305868,0.9630349541305868,100,0.9974498761683435,0.36824195439875923
R1077T,FR1,0,0.992358127358244,8.900549584078057,9.743907638348,1.807620719773695e-13,9.743907638348002,0.9743907638348002,100,0.9971436913711035,0.372538914224112
R1077T,FR1,1,0.9953201104337193,5.582012388137872,9.854597186850825,3.04680725093931e-13,9.854597186850821,0.9854597186850821,100,0.9974569578956732,0.307869035738454
R1077T,FR2,0,0.9947455812900611,6.210795891862505,9.861198633529044,-3.04680725093931e-13,9.861198633529044,0.9861198633529045,100,0.997410535086135,0.3589286550430168
R1077T,FR1,2,0.9957181614819224,5.257654190220832,9.758542817681105,-2.296474121976644e-13,9.758542817681102,0.9758542817681102,100,0.9978898250882128,0.29982836744497643
R1077T,FR1,3,0.99820979911238,1.7650881360435462,0.6391300331911,2.6261659513693303e-13,0.6391300331910998,0.06391300331910998,100,0.999989162305046,0.3513601049392973
R1078N,PAL1,0,1.1937254480908739,-124.11303444586419,365.4817429225606,3.802628709998881e-13,365.4817429225606,67.86825584954323,29,0.4427660983363608,0.43112716921247946
R1080E,FR1,1,1.0010201634636011,-7.236711573669917,1.978311428013484,2.41016095969826e-13,1.978311428013484,0.1978311428013484,100,0.9999034633461689,0.327507860905532
R1080E,FR1,0,1.002639597217841,-9.223627594329646,1.0568094868739735,-1.9554136088117957e-13,1.0568094868739735,0.10568094868739734,100,0.9999696153465994,0.347145924791447
R1081J,FR1,0,0.9959649626323083,5.032885012542837,10.17109965551334,-2.501110429875553e-13,10.171099655513338,1.0171099655513338,100,0.9974241572750367,0.2639001725036581
R1081J,FR1,1,0.9926174738238441,8.65512167761339,9.863888177533756,-1.842923474645144e-13,9.863888177533754,1.0120135737538316,95,0.9976123040809556,0.3624170267991889
R1082N,PAL1,1,0.5949656281151937,456.082518674939,267.9557534821428,-1.8189894035458566e-13,267.9557534821429,26.79557534821429,100,0.3177245796834053,0.3142816764640476
R1083J,FR1,1,0.9938255763754292,7.262720448674651,9.9357626013942,6.548361852765083e-13,9.935762601394199,0.9935762601394199,100,0.9976576468436422,0.31727433231574215
R1083J,FR1,2,0.994807962406138,6.211548999950983,9.752915389785462,-3.0013325158506633e-13,9.752915389785466,0.9752915389785466,100,0.9974202752869987,0.2894322223724493
R1083J,FR1,3,0.9946511398532114,6.346190453664245,9.74086609172113,8.753886504564434e-14,9.74086609172113,0.9740866091721131,100,0.997445991746047,0.329949371947826
R1083J,FR1,4,0.9957510476739514,5.225738084314648,9.954990002243026,4.320099833421409e-14,9.954990002243026,0.9954990002243026,100,0.9977963761271161,0.36652219630405575
R1083J,catFR1,0,0.995194717300966,5.83300416822169,9.851290928671983,2.0577317627612502e-13,9.851290928671983,0.9851290928671983,100,0.9977538554465668,0.29100345330787597
R1084T,FR1,0,0.994698129749442,6.279248435824097,9.839041109131944,-3.035438567167148e-13,9.839041109131946,0.9839041109131946,100,0.9975947585686445,0.3286363250107203
R1086M,catFR1,0,0.9951204084251578,5.814425533229566,9.879660582973308,-1.5347723092418165e-13,9.879660582973306,0.9879660582973306,100,0.9977761250236373,0.34866044038834654
R1086M,PAL1,0,0.9984637468707324,2.3059572096862855,9.07922989473079,-6.37783159618266e-13,9.07922989473079,0.907922989473079,100,0.997656235252585,0.33526984521181247
R1087N,PAL1,0,1.0001317657660111,-0.18332323736485442,0.2952397345314906,5.059064278611914e-13,0.2952397345314906,0.029523973453149062,100,0.9999977316287099,0.3070988817727847
R1087N,PAL1,1,1.0002619393749324,-0.31903970605272547,0.4849567836951414,-9.140421752817928e-13,0.4849567836951414,0.04849567836951414,100,0.9999933734946294,0.35864925617088694
