subject,subject_alias,experiment,original_experiment,session,original_session,median_beep_time,experiment_version,expected_offset,expected_offset_pre,expected_beep_time,fixation,beep_duration
R1460M,R1460M,FR1,,0,,0.0,1.0,1009.6153846153846,0.0,-509.61538461538464,1009.6153846153846,0.5
R1461T,R1461T,FR1,,0,,0.0,1.0,1007.1428571428571,0.0,-507.14285714285717,1007.1428571428571,0.5
R1461T,R1461T,catFR1,,0,,0.0,1.0,1007.8461538461538,0.0,-507.84615384615387,1007.8461538461538,0.5
R1461T,R1461T,catFR1,,1,,0.0,1.0,1004.8181818181819,0.0,-504.8181818181818,1004.8181818181819,0.5
R1461T,R1461T,catFR6,,1,,0.0,6.0,1007.6923076923077,0.0,-507.6923076923077,1007.6923076923077,0.5
R1461T,R1461T,catFR6,,2,,0.0,6.0,1007.3461538461538,0.0,-507.34615384615387,1007.3461538461538,0.5
R1461T,R1461T,catFR6,,3,,0.0,6.0,1009.5,0.0,-509.5,1009.5,0.5
R1462M,R1462M,FR1,,0,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5
R1462M,R1462M,catFR1,,0,,0.0,1.0,1005.1538461538462,0.0,-505.15384615384613,1005.1538461538462,0.5
R1463E,R1463E,FR6,,0,,0.0,6.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5
R1463E,R1463E_1,FR1,,0,0.0,0.0,1.0,1004.0769230769231,0.0,-504.0769230769231,1004.0769230769231,0.5
R1463E,R1463E_1,FR1,,1,1.0,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5
R1463E,R1463E_1,FR6,,1,1.0,0.0,6.0,1006.9,0.0,-506.9,1006.9,0.5
R1463E,R1463E_1,catFR1,,0,0.0,0.0,1.0,1013.9230769230769,0.0,-513.9230769230769,1013.9230769230769,0.5
R1463E,R1463E_1,catFR1,,1,1.0,0.0,1.0,1007.6923076923077,0.0,-507.6923076923077,1007.6923076923077,0.5
R1463E,R1463E_1,catFR6,,1,1.0,0.0,6.0,1007.7307692307693,0.0,-507.7307692307692,1007.7307692307693,0.5
R1465D,R1465D,TICL_catFR,TICL_CatFR,1,,0.0,6.0,1008.9230769230769,0.0,-508.9230769230769,1008.9230769230769,0.5
R1465D,R1465D,catFR1,,0,,0.0,1.0,1005.4615384615385,0.0,-505.46153846153845,1005.4615384615385,0.5
R1465D,R1465D,catFR1,,1,,0.0,1.0,1006.3846153846154,0.0,-506.38461538461536,1006.3846153846154,0.5
R1465D,R1465D,catFR1,,2,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1465D,R1465D,catFR1,,3,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1466J,R1466J,FR1,,0,,0.0,1.0,1006.3076923076923,0.0,-506.3076923076923,1006.3076923076923,0.5
R1466J,R1466J,FR6,,1,,0.0021,6.0,1008.3461538461538,0.0,-508.34615384615387,1008.3461538461538,0.5
R1466J,R1466J,catFR1,,0,,0.0016,1.0,1004.0,0.0,-504.0,1004.0,0.5
R1467M,R1467M,FR1,,0,,0.0,1.0,1007.7692307692307,0.0,-507.7692307692308,1007.7692307692307,0.5
R1467M,R1467M,catFR1,,0,,0.0,1.0,1006.4615384615385,0.0,-506.46153846153845,1006.4615384615385,0.5
R1468J,R1468J,catFR1,,1,,0.0,1.0,1008.3,0.0,-508.3,1008.3,0.5
R1468J,R1468J,catFR1,,2,,0.0,1.0,1008.0,0.0,-508.0,1008.0,0.5
R1468J,R1468J,catFR1,,3,,0.0,1.0,1006.6923076923077,0.0,-506.6923076923077,1006.6923076923077,0.5
R1468J,R1468J,catFR1,,5,,0.0,1.0,1006.6153846153846,0.0,-506.61538461538464,1006.6153846153846,0.5
R1468J,R1468J_1,catFR1,,6,6.0,0.0,1.0,1008.8461538461538,0.0,-508.84615384615387,1008.8461538461538,0.5
R1468J,R1468J_1,catFR1,,7,7.0,0.0,1.0,1009.1538461538462,0.0,-509.15384615384613,1009.1538461538462,0.5
R1468J,R1468J_1,catFR1,,8,8.0,0.0,1.0,1010.3846153846154,0.0,-510.38461538461536,1010.3846153846154,0.5
R1469D,R1469D,catFR1,,1,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5
R1469D,R1469D,catFR1,,3,,0.0,1.0,1005.3846153846154,0.0,-505.38461538461536,1005.3846153846154,0.5
R1469D,R1469D,catFR1,,4,,0.0,1.0,1007.0833333333334,0.0,-507.0833333333333,1007.0833333333334,0.5
