subject,subject_alias,experiment,original_experiment,session,original_session,session_log,session_json,session_jsonl
R1061T,R1061T,PS1,PS,1,3,1,0,0
R1061T,R1061T,YC1,,0,0,0,0,0
R1061T,R1061T,YC2,,0,0,0,0,0
R1061T,R1061T,catFR1,,0,0,1,0,0
R1062J,R1062J,FR1,,0,0,1,0,0
R1062J,R1062J,FR1,,1,1,1,0,0
R1062J,R1062J,FR1,,2,2,1,0,0
R1062J,R1062J,FR1,,3,3,1,0,0
R1062J,R1062J,PS1,PS,0,2,1,0,0
R1062J,R1062J,PS3,PS,0,3,1,0,0
R1062J,R1062J,YC1,,0,1,0,0,0
R1062J,R1062J,YC1,,1,3,0,0,0
R1063C,R1063C,FR1,,0,,1,0,0
R1063C,R1063C_1,FR1,,1,0,1,0,0
R1063C,R1063C_1,PAL1,,0,0,1,0,0
R1063C,R1063C_1,YC1,,0,0,0,0,0
R1063C,R1063C_1,YC1,,1,1,0,0,0
R1064E,R1064E,PS1,PS,0,1,1,0,0
R1064E,R1064E_1,PS1,PS,1,1,1,0,0
R1064E,R1064E,PS2,PS,0,2,1,0,0
R1064E,R1064E_1,PS2,PS,1,2,1,0,0
R1064E,R1064E,PS3,PS,0,3,1,0,0
R1064E,R1064E_1,PS3,PS,1,3,1,0,0
R1064E,R1064E,YC1,,0,0,0,0,0
R1064E,R1064E,YC1,,1,1,0,0,0
R1064E,R1064E_1,YC1,,2,0,0,0,0
R1065J,R1065J,FR1,,0,0,1,0,0
R1065J,R1065J,FR1,,1,1,1,0,0
R1065J,R1065J,FR1,,2,2,1,0,0
R1065J,R1065J,FR1,,3,3,1,0,0
R1065J,R1065J,FR1,,4,4,1,0,0
R1065J,R1065J,FR1,,5,5,1,0,0
R1065J,R1065J,PAL1,,0,0,1,0,0
R1065J,R1065J,PAL1,,1,1,1,0,0
R1065J,R1065J,PAL1,,2,2,1,0,0
R1065J,R1065J,PS1,PS,0,1,1,0,0
R1065J,R1065J,YC1,,0,0,0,0,0
R1065J,R1065J,YC1,,1,1,0,0,0
R1065J,R1065J,YC1,,2,2,0,0,0
R1065J,R1065J,YC1,,3,3,0,0,0
R1065J,R1065J,YC1,,4,4,0,0,0
R1065J,R1065J,YC1,,5,5,0,0,0
R1065J,R1065J,YC2,,0,0,0,0,0
R1065J,R1065J,catFR1,,0,0,1,0,0
R1065J,R1065J,catFR1,,1,1,1,0,0
R1065J,R1065J,catFR1,,2,2,1,0,0
R1065J,R1065J,catFR1,,3,3,1,0,0
R1066P,R1066P,FR1,,0,,1,0,0
R1066P,R1066P,FR1,,1,,1,0,0
R1066P,R1066P,FR1,,2,,1,0,0
R1066P,R1066P,FR1,,3,,1,0,0
R1066P,R1066P,PAL1,,0,0,1,0,0
R1066P,R1066P,PS1,PS,0,1,1,0,0
R1066P,R1066P,PS3,PS,0,2,1,0,0
R1066P,R1066P,YC1,,0,0,0,0,0
R1066P,R1066P,YC1,,1,1,0,0,0
R1066P,R1066P,YC1,,2,2,0,0,0
R1066P,R1066P_1,YC1,,3,0,0,0,0
R1066P,R1066P,catFR1,,0,,1,0,0
R1066P,R1066P,catFR1,,1,,1,0,0
R1066P,R1066P,catFR1,,2,,1,0,0
R1067P,R1067P,FR1,,0,0,1,0,0
R1067P,R1067P,FR1,,1,2,1,0,0
R1067P,R1067P,FR1,,2,3,1,0,0
R1067P,R1067P,PS1,PS,0,1,1,0,0
R1067P,R1067P,PS1,PS,1,4,1,0,0
R1067P,R1067P,PS3,PS,0,2,1,0,0
R1067P,R1067P,PS3,PS,1,5,1,0,0
